k,inertia,silhouette
2,311909.3891141298,0.21571283970953853
3,244243.91744407837,0.2568442059382525
4,200463.29723681477,0.26130427477017554
5,171943.1478606821,0.27606149057088347
6,156889.72733763384,0.2715434106739003
7,143674.67850044035,0.23799306282833377
8,132554.23064047235,0.22636563990442082
9,124380.5268595305,0.21602381093861583
10,117298.19232454785,0.21712191542395648
11,111632.36837485565,0.21741192563632666
12,107380.28953103206,0.20589293980076295
13,103325.23899715781,0.20156092502089634
14,99883.66293838377,0.20377753198038773
15,96649.85440492423,0.19663036411984422
16,93597.16848083002,0.19820068486998543
17,90734.76893449094,0.200834033176052
18,88172.42431419123,0.20012094897984448
19,85762.38755629439,0.19727546233378024
20,83598.53213691253,0.1986555293716511
